"Date","Open","High","Low","Close","Adj.Close","Volume","Stock","Title","Year","Genre","Runtime","Director","Writer","Actors","Rated","IMDB.Rating","Metascore","IMDB.Votes","Awards","Box.Office","Country","Language","Description"
"1995-09-15",583.61,585.07,581.79,583.35,583.35,459370000,"^SPX","Hackers","1995","Crime, Drama, Romance","105 min","Iain Softley","Rafael Moreu","Jonny Lee Miller, Angelina Jolie, Jesse Bradford","PG-13",6.2,46,"77,007","1 nomination","$7,563,728","United States","English, Italian, Spanish, Japanese, Russian","A young boy is arrested by the U.S. Secret Service for writing a computer virus and is banned from using a computer until his 18th birthday. Years later, he and his new-found friends discover a plot to unleash a dangerous computer virus, but they must use their computer skills to find the evidence while being pursued by the Secret Service and the evil computer genius behind the virus."
"1995-10-06",582.63,584.54,582.1,582.49,582.49,313680000,"^SPX","To Die For","1995","Comedy, Crime, Drama","106 min","Gus Van Sant","Joyce Maynard, Buck Henry","Nicole Kidman, Matt Dillon, Joaquin Phoenix","R",6.8,86,"55,297","Nominated for 1 BAFTA Award7 wins & 17 nominations total","$21,284,514","United Kingdom, Canada, United States","English","Suzanne Stone (Kidman) knows exactly what she wants. She wants to be a television newscaster and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary."
"1995-10-13",583.1,587.39,583.1,584.5,584.5,374680000,"^SPX","Strange Days","1995","Crime, Drama, Sci-Fi","145 min","Kathryn Bigelow","James Cameron, Jay Cocks","Ralph Fiennes, Angela Bassett, Juliette Lewis","R",7.2,66,"80,098","2 wins & 4 nominations total","$7,959,291","United States","English","In 1999, Los Angeles is racial war zone with the army and LSPD and SWAT officers fighting Afro-American people. The former cop Lenny Nero is a dealer of illegal recording in CDs that gives the memories and sensations of the recorder to the user. He buys the recordings from the supplier Tick; he misses his former mistress Faith, who was a hooker and now is a singer; his best friend is the private eye Max Peltier and the limousine driver Lornette 'Mace' Mason, who has unrequited love for him. Two days before the turn of the century, the black rapper Jeriko One is murdered. The hooker Iris seeks Lenny out but there is an incident and they do not talk to each other. However she drops a recording into Lenny's car while he unsuccessfully tries to meet Faith at a night-club. However her boyfriend Philo Gant does not let them talk. When Lenny learns that Iris was sadistically raped and killed, he gets involved in a sick scheme and discovers dirty hidden secrets."
"1995-10-20",590.65,590.66,586.78,587.46,587.46,389360000,"^SPX","Now and Then","1995","Comedy, Drama, Romance","102 min","Lesli Linka Glatter","I. Marlene King","Christina Ricci, Demi Moore, Rosie O'Donnell","PG-13",6.8,50,"33,393","1 nomination total","$27,112,329","United States","English","Four childhood friends, now in their thirties, are having a reunion. Their lives have gone separate and very different ways. Together again they reminisce about their younger years, especially the eventful period when they were 12 years old."
"1995-10-27",576.72,579.71,573.21,579.7,579.7,379230000,"^SPX","Copycat","1995","Drama, Mystery, Thriller","123 min","Jon Amiel","Ann Biderman, David Madsen","Sigourney Weaver, Holly Hunter, Dermot Mulroney","R",6.6,54,"68,789","2 wins & 1 nomination total","$32,051,917","United States","English","In San Francisco, the criminal psychologist Helen Hudson is specialized in serial-killers. During a trial, the accused Daryll Lee Cullum kills a police officer and tries to kill her and she becomes agoraphobic. Now Helen lives a reclusive life with her gay friend Andy that helps her. Sometime later, there is a wave of crimes and Detectives M.J. Monahan and Reuben Goetz are investigating the murder cases. Helen identifies that the murderer is copycatting notorious serial-killers and she anonymously contacts the Police Department. After fourteen phone calls, she is identified by the police. Detectives M.J. and Reuben visit her and Helen teams up with them and prepares the profile of the killer that wants to be famous. But soon the copycat killer Peter Foley contacts and stalks Helen and M.J. and Reuben give protection to her. Will they be capable to stop Foley before the next murder?"
"1995-11-17",597.34,600.14,597.3,600.07,600.07,437200000,"^SPX","The American President","1995","Comedy, Drama, Romance","114 min","Rob Reiner","Aaron Sorkin","Michael Douglas, Annette Bening, Martin Sheen","PG-13",6.8,68,"61,771","Nominated for 1 Oscar. 1 win & 11 nominations total","$60,079,496","United States","English, French, Spanish","Andrew Shepherd is approaching the end of his first term as President of the United States. He's a widower with a young daughter and has proved to be popular with the public. His election seems assured. That is until he meets Sydney Ellen Wade, a paid political activist working for an environmental lobby group. He's immediately smitten with her and after several amusing attempts, they finally manage to go on a date (which happens to be a State dinner for the visiting President of France). His relationship with Wade opens the door for his prime political opponent, Senator Bob Rumson, to launch an attack on the President's character, something he could not do in the previous election as Shepherd's wife had only recently died."
"1996-01-12",602.69,604.8,597.46,601.81,601.81,383400000,"^SPX","Don't Be a Menace to South Central While Drinking Your Juice in the Hood","1996","Comedy, Crime","89 min","Paris Barclay","Shawn Wayans, Marlon Wayans, Phil Beauman","Shawn Wayans, Marlon Wayans, Keenen Ivory Wayans","R",6.5,53,"63,699","1 nomination total","$20,109,115","United States","English, Spanish","""Don't Be a Menace to South Central While Drinking your Juice in the Hood"" is a parody of several U.S. films about being in the 'Hood', for instance ""Boyz n the Hood"", ""South Central"", ""Menace II Society"", ""Higher Learning"" and ""Juice"". We follow Ashtray as he returns to the place he grew up in and meet his father and his basket-case friends. Crazy stuff happens. For example, Ashtray is older than his father and his best friend Loc Dog's grandmother is a trigger-happy old lady who blames her eccentric-looking kid for not being tough enough."
"1996-01-26",617.03,621.7,615.26,621.62,621.62,385700000,"^SPX","Sense and Sensibility","1995","Drama, Romance","136 min","Ang Lee","Jane Austen, Emma Thompson","Emma Thompson, Kate Winslet, James Fleet","PG",7.7,84,"129,569","Won 1 Oscar. 33 wins & 50 nominations total","$43,182,776","United Kingdom, United States","English, French","When Mr. Dashwood (Tom Wilkinson) dies, he must leave the bulk of his estate to the son by his first marriage, which leaves his second wife and their three daughters Elinor (Dame Emma Thompson), Marianne (Kate Winslet), and Margaret (Emilie François), in straitened circumstances. They are taken in by a kindly cousin, but their lack of fortune affects the marriageability of practical Elinor and romantic Marianne. When Elinor forms an attachment for the wealthy Edward Ferrars (Hugh Grant), his family disapproves and separates them. And though Mrs. Jennings (Elizabeth Spriggs) tries to match the worthy (and rich) Colonel Brandon (Alan Rickman) to her, Marianne finds the dashing and fiery John Willoughby (Greg Wise) more to her taste. Both relationships are sorely tried."
"1996-02-09",656.07,661.08,653.64,656.37,656.37,477640000,"^SPX","Leaving Las Vegas","1995","Drama, Romance","111 min","Mike Figgis","John O'Brien, Mike Figgis","Nicolas Cage, Elisabeth Shue, Julian Sands","R",7.5,82,"138,732","Won 1 Oscar. 32 wins & 30 nominations total","$32,029,928","United States","English, Russian","Because his wife left him and took his son with her, screenwriter Ben Sanderson has started drinking, a lot. He's getting more and more isolated and he troubles women in bars because he wants to have sex with them. When he gets fired, he decides to leave everything behind and move to Las Vegas and drink himself to death. In Las Vegas he meets Sera, a prostitute with some problems as well who he moves in with."
"1996-03-08",653.65,653.65,627.63,633.5,633.5,546550000,"^SPX","The Birdcage","1996","Comedy","117 min","Mike Nichols","Jean Poiret, Francis Veber, Édouard Molinaro","Robin Williams, Nathan Lane, Gene Hackman","R",7.2,71,"104,883","Nominated for 1 Oscar. 7 wins & 25 nominations total","$124,060,553","United States","English","Armand Goldman owns a popular drag nightclub in South Miami Beach. His long-time lover, Albert, stars there as Starina. ""Their"" son Val (actually Armand's by his one heterosexual fling, twenty years before) comes home to announce his engagement to Barbara Keeley, daughter of Kevin Keeley, US Senator, and co-founder of the Committee for Moral Order. The Senator and family descend upon South Beach to meet Val, his father and ""mother."" What ensues is comic chaos."
